ID;Vorname;Nachname;Angezeigter Name (kurz);Angezeigter Name;Verein;Position;Marktwert;Punkte;Notendurchschnitt
pl-k00030669;Manuel;Neuer;Neuer;Manuel Neuer;Bayern München;GOALKEEPER;3600000;169;2.91
pl-k00037056;Tobias;Sippel;Sippel;Tobias Sippel;Bor. Mönchengladbach;GOALKEEPER;500000;-4;5.0
pl-k00039161;Sven;Ulreich;Ulreich;Sven Ulreich;Bayern München;GOALKEEPER;1000000;8;3.0
pl-k00039245;Oliver;Baumann;Baumann;Oliver Baumann;TSG Hoffenheim;GOALKEEPER;3800000;184;2.98
pl-k00039317;Thomas;Müller;T. Müller;Thomas Müller;Bayern München;MIDFIELDER;4200000;116;3.3
pl-k00040891;Jens;Grahl;Grahl;Jens Grahl;Eintracht Frankfurt;GOALKEEPER;800000;0;0.0
pl-k00042122;Kevin;Trapp;Trapp;Kevin Trapp;Eintracht Frankfurt;GOALKEEPER;3200000;152;3.15
pl-k00043520;Janis;Blaswich;Blaswich;Janis Blaswich;RB Leipzig;GOALKEEPER;999000000;0;0.0
pl-k00043592;Mario;Götze;M. Götze;Mario Götze;Eintracht Frankfurt;MIDFIELDER;2500000;133;3.21
pl-k00050237;Timothy;Chandler;Chandler;Timothy Chandler;Eintracht Frankfurt;DEFENDER;700000;6;0.0
pl-k00054360;Daniel;Batz;Batz;Daniel Batz;1. FSV Mainz 05;GOALKEEPER;800000;0;0.0
pl-k00054640;Danny;da Costa;da Costa;Danny da Costa;1. FSV Mainz 05;DEFENDER;1200000;112;3.39
pl-k00054652;Pascal;Groß;P. Groß;Pascal Groß;Borussia Dortmund;MIDFIELDER;3800000;128;3.52
pl-k00054657;Kevin;Vogt;Vogt;Kevin Vogt;1. FC Union Berlin;DEFENDER;2500000;70;3.58
pl-k00057241;Rani;Khedira;R. Khedira;Rani Khedira;1. FC Union Berlin;MIDFIELDER;2200000;114;3.65
pl-k00057245;Marnon;Busch;Busch;Marnon Busch;1. FC Heidenheim;DEFENDER;1300000;56;3.82
pl-k00057247;Marvin;Ducksch;Ducksch;Marvin Ducksch;Werder Bremen;FORWARD;3800000;144;3.68
pl-k00057343;Granit;Xhaka;G. Xhaka;Granit Xhaka;Bayer 04 Leverkusen;MIDFIELDER;6000000;214;3.09
pl-k00057797;Markus;Kolke;Kolke;Markus Kolke;Werder Bremen;GOALKEEPER;500000;0;0.0
pl-k00057894;Kevin;Kampl;Kampl;Kevin Kampl;RB Leipzig;MIDFIELDER;1800000;94;3.48
pl-k00057925;Lukas;Hradecky;Hradecky;Lukas Hradecky;Bayer 04 Leverkusen;GOALKEEPER;3600000;166;3.17
pl-k00058003;Mitchell;Weiser;Weiser;Mitchell Weiser;Werder Bremen;DEFENDER;3000000;195;3.38
pl-k00058007;Emre;Can;Can;Emre Can;Borussia Dortmund;MIDFIELDER;2500000;118;3.48
pl-k00058548;Peter;Gulacsi;Gulacsi;Peter Gulacsi;RB Leipzig;GOALKEEPER;3600000;262;2.65
pl-k00058740;Alexander;Meyer;A. Meyer;Alexander Meyer;Borussia Dortmund;GOALKEEPER;800000;16;2.5
pl-k00058938;Christopher;Trimmel;Trimmel;Christopher Trimmel;1. FC Union Berlin;DEFENDER;1700000;86;3.64
pl-k00059041;Andrej;Kramaric;Kramaric;Andrej Kramaric;TSG Hoffenheim;FORWARD;5000000;186;3.52
pl-k00060522;Stefan;Bell;Bell;Stefan Bell;1. FSV Mainz 05;DEFENDER;1600000;85;3.31
pl-k00060535;Leonardo;Bittencourt;Bittencourt;Leonardo Bittencourt;Werder Bremen;MIDFIELDER;1700000;77;3.69
pl-k00063777;Lukas;Kübler;Kübler;Lukas Kübler;SC Freiburg;DEFENDER;1700000;129;3.57
pl-k00063799;Michael;Gregoritsch;Gregoritsch;Michael Gregoritsch;SC Freiburg;FORWARD;3000000;64;3.43
pl-k00064040;Maximilian;Arnold;Arnold;Maximilian Arnold;VfL Wolfsburg;MIDFIELDER;2600000;142;3.41
pl-k00064802;Kevin;Müller;Ke. Müller;Kevin Müller;1. FC Heidenheim;GOALKEEPER;3400000;189;3.2
pl-k00065090;Anthony;Jung;A. Jung;Anthony Jung;SC Freiburg;DEFENDER;2000000;66;3.83
pl-k00065896;Robin;Zentner;Zentner;Robin Zentner;1. FSV Mainz 05;GOALKEEPER;2800000;247;2.78
pl-k00066745;Niklas;Süle;Süle;Niklas Süle;Borussia Dortmund;DEFENDER;3000000;66;3.27
pl-k00066753;Serge;Gnabry;Gnabry;Serge Gnabry;Bayern München;MIDFIELDER;4000000;155;3.0
pl-k00066754;Leon;Goretzka;Goretzka;Leon Goretzka;Bayern München;MIDFIELDER;4200000;113;3.31
pl-k00067074;Timo;Werner;Werner;Timo Werner;RB Leipzig;FORWARD;999000000;0;0.0
pl-k00067144;Patrick;Drewes;Drewes;Patrick Drewes;Borussia Dortmund;GOALKEEPER;2000000;92;3.45
pl-k00067514;Kevin;Stöger;Stöger;Kevin Stöger;Bor. Mönchengladbach;MIDFIELDER;3500000;108;3.57
pl-k00067724;Kevin;Akpoguma;Akpoguma;Kevin Akpoguma;TSG Hoffenheim;DEFENDER;1700000;80;3.78
pl-k00068029;Jonas;Hofmann;Hofmann;Jonas Hofmann;Bayer 04 Leverkusen;MIDFIELDER;4000000;36;3.64
pl-k00068578;Julian;Brandt;Brandt;Julian Brandt;Borussia Dortmund;MIDFIELDER;5000000;144;3.66
pl-k00068667;Karol;Mets;Mets;Karol Mets;FC St. Pauli;DEFENDER;1600000;40;3.5
